"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"28","58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5","Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","1994-06-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","272199522","9540007281","","134","36","","http://www.gwsh.pl","rektor@gwsh.pl","323570539","/GWSH-KATOWICE/SkrytkaESP","Polska","śląskie","ul. Harcerzy Września 1939","3","40-659","Katowice","Krzysztof Józef Szaflarski - Rektor","45a395c8-26b3-4a72-a8f8-d4a94a4f31b4",,,,,"Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach","1994-06-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1994-06-15","Działająca","1994-06-15","akademicka","1994-06-15","ul. Harcerzy Września 1939 3, 40-659 Katowice, woj. śląskie, Polska","1994-06-15"
"29","dc6549a6-0a9e-4dc3-831c-451447b68c58","Akademia Handlowa Nauk Stosowanych w Radomiu","1998-07-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","670195619","9482027811","","200","142","","http://www.ahns.pl","rektor@ahns.pl","048 363 22 90","ekielskawsh\wsh_radom","Polska","mazowieckie","ul. Tadeusza Mazowieckiego","7A","26-600","Radom","Elżbieta Kielska - Rektor","c93391b3-7c54-4c36-b957-c529bd9bef01",,,,,"Akademia Handlowa Nauk Stosowanych w Radomiu","2022-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-29","Działająca","1998-07-29","zawodowa","1998-07-29","ul. Romualda Traugutta 61, 26-600 Radom, woj. mazowieckie, Polska","1998-07-29"
"30","dc6549a6-0a9e-4dc3-831c-451447b68c58","Akademia Handlowa Nauk Stosowanych w Radomiu","1998-07-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","670195619","9482027811","","200","142","","http://www.ahns.pl","rektor@ahns.pl","048 363 22 90","ekielskawsh\wsh_radom","Polska","mazowieckie","ul. Tadeusza Mazowieckiego","7A","26-600","Radom","Elżbieta Kielska - Rektor","c93391b3-7c54-4c36-b957-c529bd9bef01",,,,,"Akademia Handlowa Nauk Stosowanych w Radomiu","2022-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-29","Działająca","1998-07-29","zawodowa","1998-07-29","ul. Tadeusza Mazowieckiego 7A, 26-600 Radom, woj. mazowieckie, Polska","2020-12-03"
"31","dc6549a6-0a9e-4dc3-831c-451447b68c58","Akademia Handlowa Nauk Stosowanych w Radomiu","1998-07-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","670195619","9482027811","","200","142","","http://www.ahns.pl","rektor@ahns.pl","048 363 22 90","ekielskawsh\wsh_radom","Polska","mazowieckie","ul. Tadeusza Mazowieckiego","7A","26-600","Radom","Elżbieta Kielska - Rektor","c93391b3-7c54-4c36-b957-c529bd9bef01",,,,,"Wyższa Szkoła Handlowa w Radomiu","1998-07-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-29","Działająca","1998-07-29","zawodowa","1998-07-29","ul. Romualda Traugutta 61, 26-600 Radom, woj. mazowieckie, Polska","1998-07-29"
"32","dc6549a6-0a9e-4dc3-831c-451447b68c58","Akademia Handlowa Nauk Stosowanych w Radomiu","1998-07-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","670195619","9482027811","","200","142","","http://www.ahns.pl","rektor@ahns.pl","048 363 22 90","ekielskawsh\wsh_radom","Polska","mazowieckie","ul. Tadeusza Mazowieckiego","7A","26-600","Radom","Elżbieta Kielska - Rektor","c93391b3-7c54-4c36-b957-c529bd9bef01",,,,,"Wyższa Szkoła Handlowa w Radomiu","1998-07-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-29","Działająca","1998-07-29","zawodowa","1998-07-29","ul. Tadeusza Mazowieckiego 7A, 26-600 Radom, woj. mazowieckie, Polska","2020-12-03"
"33","187760da-93f3-452f-962e-dcbd2218aacc","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","1994-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2019-09-30","akademicka","","130176830","5681149880","","011","41","","http://www.ah.edu.pl","rektorat@ah.edu.pl","(23) 692 98 13","","Polska","mazowieckie","ul. Ignacego Daszyńskiego","17","06-100","Pułtusk","","",,,,,"Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","1994-07-21",,,,,,,,,,,"Akademia Finansów i Biznesu Vistula","1cb32064-70d2-4de8-b43f-8e67b8a4286b","011021150","5260009816","","","2","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-09-30","Minister Edukacji i Nauki (poprzednio MNiSW)","1994-07-21","Działająca","1994-07-21","akademicka","1994-07-21","ul. Ignacego Daszyńskiego 17, 06-100 Pułtusk, woj. mazowieckie, Polska","1994-07-21"
"34","187760da-93f3-452f-962e-dcbd2218aacc","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","1994-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2019-09-30","akademicka","","130176830","5681149880","","011","41","","http://www.ah.edu.pl","rektorat@ah.edu.pl","(23) 692 98 13","","Polska","mazowieckie","ul. Ignacego Daszyńskiego","17","06-100","Pułtusk","","",,,,,"Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","1994-07-21",,,,,,,,,,,"Akademia Finansów i Biznesu Vistula","1cb32064-70d2-4de8-b43f-8e67b8a4286b","011021150","5260009816","","","2","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-09-30","Minister Edukacji i Nauki (poprzednio MNiSW)","1994-07-21","Przekształcona","2019-09-30","akademicka","1994-07-21","ul. Ignacego Daszyńskiego 17, 06-100 Pułtusk, woj. mazowieckie, Polska","1994-07-21"
"35","669fee72-713b-4509-99a3-81f522cb7159","Akademia Humanistyczno-Ekonomiczna w Łodzi","1993-10-05","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","470810663","7251014115","","120","30","","http://www.ahe.lodz.pl","rektorat@ahe.lodz.pl","42 631-58-06 ","/AKADEMIA_LODZ/SkrytkaESP","Polska","łódzkie","ul. dr. Seweryna Sterlinga","26","90-212","Łódź","ELŻBIETA dr hab. DUL-LEDWOSIŃSKA - Rektor","0be99089-a8fc-4378-9409-515197a73c4d",,,,,"Akademia Humanistyczno-Ekonomiczna w Łodzi","1993-10-05",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-10-05","Działająca","1993-10-05","akademicka","1993-10-05","ul. dr. Seweryna Sterlinga 26, 90-212 Łódź, woj. łódzkie, Polska","1993-10-05"
"36","ce89a21a-0e0f-4752-80c8-a8388329a473","Akademia Humanitas","1997-04-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","273470470","6442446977","","041","110","","http://www.humanitas.edu.pl","sekretariat@humanitas.edu.pl","32 3631200","/Humanitas/SkrytkaESP","Polska","śląskie","ul. Jana Kilińskiego","43","41-200","Sosnowiec","Michał dr hab. Kaczmarczyk - Rektor","d40af6dc-c34c-43b5-81e5-fc7da193be5d",,,,,"Akademia Humanitas","2023-05-18",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1997-04-23","Działająca","1997-04-23","zawodowa","1997-04-23","ul. Jana Kilińskiego 43, 41-200 Sosnowiec, woj. śląskie, Polska","1997-04-23"
"37","ce89a21a-0e0f-4752-80c8-a8388329a473","Akademia Humanitas","1997-04-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","273470470","6442446977","","041","110","","http://www.humanitas.edu.pl","sekretariat@humanitas.edu.pl","32 3631200","/Humanitas/SkrytkaESP","Polska","śląskie","ul. Jana Kilińskiego","43","41-200","Sosnowiec","Michał dr hab. Kaczmarczyk - Rektor","d40af6dc-c34c-43b5-81e5-fc7da193be5d",,,,,"Akademia Humanitas","2023-05-18",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1997-04-23","Działająca","1997-04-23","akademicka","2023-02-23","ul. Jana Kilińskiego 43, 41-200 Sosnowiec, woj. śląskie, Polska","1997-04-23"
"38","ce89a21a-0e0f-4752-80c8-a8388329a473","Akademia Humanitas","1997-04-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","273470470","6442446977","","041","110","","http://www.humanitas.edu.pl","sekretariat@humanitas.edu.pl","32 3631200","/Humanitas/SkrytkaESP","Polska","śląskie","ul. Jana Kilińskiego","43","41-200","Sosnowiec","Michał dr hab. Kaczmarczyk - Rektor","d40af6dc-c34c-43b5-81e5-fc7da193be5d",,,,,"Wyższa Szkoła Humanitas w Sosnowcu","1997-04-23",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1997-04-23","Działająca","1997-04-23","zawodowa","1997-04-23","ul. Jana Kilińskiego 43, 41-200 Sosnowiec, woj. śląskie, Polska","1997-04-23"
"39","ce89a21a-0e0f-4752-80c8-a8388329a473","Akademia Humanitas","1997-04-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","273470470","6442446977","","041","110","","http://www.humanitas.edu.pl","sekretariat@humanitas.edu.pl","32 3631200","/Humanitas/SkrytkaESP","Polska","śląskie","ul. Jana Kilińskiego","43","41-200","Sosnowiec","Michał dr hab. Kaczmarczyk - Rektor","d40af6dc-c34c-43b5-81e5-fc7da193be5d",,,,,"Wyższa Szkoła Humanitas w Sosnowcu","1997-04-23",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1997-04-23","Działająca","1997-04-23","akademicka","2023-02-23","ul. Jana Kilińskiego 43, 41-200 Sosnowiec, woj. śląskie, Polska","1997-04-23"
"40","f39171b5-f192-4064-bc1b-c5c84006a634","Akademia Ignatianum w Krakowie","1932-09-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia kościelna","Nie","","","","akademicka","","357244777","6761687491","","376","","","http://ignatianum.edu.pl","rektorat@ignatianum.edu.pl","12 399 95 02","/Akademia_Ignatianum/domyslna","Polska","małopolskie","ul. Mikołaja Kopernika","26","31-501","Kraków","Tomasz Homa - Rektor","bb117bd6-15b5-41cf-8ccf-ce8e6b2a1470",,,,,"Akademia Ignatianum w Krakowie","1932-09-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1932-09-08","Działająca","1932-09-08","akademicka","1932-09-08","ul. Mikołaja Kopernika 26, 31-501 Kraków, woj. małopolskie, Polska","1932-09-08"
"41","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Akademia im. Jakuba z Paradyża","2016-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"42","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Akademia im. Jakuba z Paradyża","2016-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"43","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim","1998-07-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"44","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim","1998-07-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"45","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Jakuba z Paradyża w Gorzowie Wielkopolskim","2013-09-26",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"46","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Jakuba z Paradyża w Gorzowie Wielkopolskim","2013-09-26",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"47","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Akademia Jagiellońska w Toruniu","2022-12-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"48","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Akademia Jagiellońska w Toruniu","2022-12-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"49","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Toruńska Szkoła Wyższa","2003-09-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"50","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Toruńska Szkoła Wyższa","2003-09-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"51","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Kolegium Jagiellońskie – Toruńska Szkoła Wyższa","2013-09-11",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"52","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Kolegium Jagiellońskie – Toruńska Szkoła Wyższa","2013-09-11",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"53","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","1999-07-15","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"54","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","zawodowa","1999-07-16","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"55","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","2022-10-01","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"56","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu","1999-07-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","1999-07-15","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
